ticket_id,created_at,customer_id,region,subject,description,affected_service,channel,status
TKT0016,2024-04-05 09:32:00,CUST47711,Jaipur,All services down in office area,Customer says all telecom services are down in the entire tech park area. Hundreds of employees affected. Escalation needed.,Mobile Data,WhatsApp,In Progress
TKT0017,2024-06-21 13:24:00,CUST62310,Chennai,4G network unavailable showing only E/EDGE,Customer says phone showing only EDGE network since yesterday. Was getting 4G before. No physical changes made to phone.,Mobile Data,Phone,Resolved
TKT0018,2024-07-16 20:52:00,CUST58624,Bhopal,Internet disconnects every 30 minutes,Customer reports fiber internet disconnecting every 30 minutes exactly. Router restarts automatically. Problem started after last week's maintenance.,Fiber Broadband,App,Closed
TKT0019,2024-07-09 19:49:00,CUST68192,Indore,VoLTE calls not working after SIM upgrade,Customer upgraded from 3G SIM to 4G SIM. Now VoLTE HD calls option has disappeared and call quality is very poor compared to before.,Voice Call,Phone,Open
TKT0020,2024-04-25 16:06:00,CUST51147,Ahmedabad,Network outage affecting hospital area,Customer raising ticket on behalf of a nursing home. All staff mobile networks are down. Critical communication being affected. Urgent resolution needed.,Voice Call,SMS,In Progress
TKT0021,2024-12-11 14:24:00,CUST48846,Pune,Router not working after power cut,Customer says fiber router stopped working after a power cut last night. Internet light stays red even after restarting. Router is 6 months old.,Fiber Broadband,SMS,Closed
TKT0022,2024-08-12 20:58:00,CUST43582,Nagpur,Set top box showing no signal,Customer says the set top box installed by company is showing 'No Signal' error since morning. Checked all cables — all properly connected.,Fiber Broadband,Phone,Closed
TKT0023,2024-06-13 22:34:00,CUST26682,Delhi,Modem making beeping sounds,Customer reports the fiber modem is making continuous beeping sounds since yesterday. Internet works intermittently. Worried about fire risk.,Fiber Broadband,SMS,Resolved
TKT0024,2024-07-28 12:18:00,CUST59670,Jaipur,ONT box light blinking red constantly,Customer says the white ONT box installed at home has a red blinking light and no internet. Was working fine until this morning.,Fiber Broadband,WhatsApp,Pending Customer
TKT0025,2024-12-07 21:12:00,CUST59784,Bhubaneswar,Router given during installation is faulty,Customer got fiber installed 2 days ago but router is not giving Wi-Fi signal beyond 5 feet. Technician said it is fine but it clearly has a weak antenna.,Fiber Broadband,Walk-in,Closed
TKT0026,2024-01-03 18:44:00,CUST48718,Bhopal,SIM card not detected in phone,Customer says SIM card suddenly stopped being detected. Tried removing and reinserting. Same SIM works in another phone. Phone is OnePlus 10.,SIM Card,WhatsApp,Closed
TKT0027,2024-03-28 15:42:00,CUST64619,Pune,SIM card physically damaged,Customer reports SIM card got damaged when phone fell in water. Needs urgent SIM replacement with same number. Has important calls expected today.,SIM Card,SMS,Closed
TKT0028,2024-12-02 19:00:00,CUST24723,Ahmedabad,Broadband cable cut by construction work,Customer says OFC cable outside their building was cut during road construction. No internet since yesterday. Construction is by BBMP.,Fiber Broadband,WhatsApp,Pending Customer
TKT0029,2024-09-24 16:43:00,CUST31936,Vadodara,Company-installed device stopped working,Customer says the CPE device installed on the terrace for internet has stopped working. Blinking amber light. No internet since 3 days. Multiple complaint calls made with no resolution.,Fiber Broadband,Phone,Resolved
TKT0030,2024-04-15 15:47:00,CUST64635,Vadodara,Power fluctuation damaged modem,Customer says modem was damaged due to power fluctuation during a storm. Needs replacement. Wants to know if it is covered under warranty.,Fiber Broadband,App,Closed
TKT0031,2024-11-13 16:12:00,CUST12702,Nagpur,Charged twice for same recharge,Customer recharged for Rs. 399 via Google Pay. Amount was deducted twice from bank account but recharge reflected only once. Transaction IDs shared.,Recharge / Billing,SMS,Resolved
TKT0032,2024-10-24 08:03:00,CUST64627,Bangalore,Bill higher than plan amount,"Customer on Rs. 499 postpaid plan received a bill of Rs. 1,240. Did not make any international calls or activate any add-ons. Requesting detailed bill.",Recharge / Billing,Phone,Closed
TKT0033,2024-11-16 16:12:00,CUST23121,Lucknow,Recharge amount deducted but not credited,Customer recharged for Rs. 199 via PhonePe. Money deducted from account 3 hours ago but balance not updated. Transaction shows success on PhonePe app.,Recharge / Billing,Walk-in,Pending Customer
TKT0034,2024-05-15 21:21:00,CUST26838,Kochi,Unknown add-on pack activated without consent,Customer noticed Rs. 49 deducted for 'Gaming Pack' which they never activated. Wants immediate refund and deactivation of all unwanted packs.,Recharge / Billing,Email,Pending Customer
TKT0035,2024-12-25 19:26:00,CUST83647,Hyderabad,Late payment fee charged unfairly,Customer says they paid the bill on the due date but a late fee of Rs. 100 was charged. Has a screenshot of the payment receipt. First time this has happened.,Recharge / Billing,SMS,Closed
TKT0036,2024-05-20 21:36:00,CUST60155,Kolkata,GST invoice not received for 3 months,Customer requires GST invoice for telecom expenses for last 3 months. Cannot file GST returns without it. Postpaid plan Rs. 999.,Recharge / Billing,Email,Pending Customer
TKT0037,2024-10-20 22:42:00,CUST32214,Kolkata,Postpaid plan changed without permission,Customer noticed their Rs. 499 plan was changed to Rs. 599 plan without their knowledge. Bill increased and features changed. Requesting immediate revert.,Recharge / Billing,App,Closed
TKT0038,2024-09-24 07:07:00,CUST53220,Delhi,Refund not received after plan cancellation,"Customer cancelled an add-on pack worth Rs. 149 on 1st of the month. Was told refund in 7 days. 20 days passed, no refund received.",Recharge / Billing,App,Resolved
TKT0039,2024-01-03 15:40:00,CUST11573,Surat,Auto-pay deducted extra amount,Customer enrolled in auto-pay for Rs. 349 per month. This month Rs. 698 was deducted automatically. No explanation in bill. Wants immediate refund.,Recharge / Billing,SMS,Open
TKT0040,2024-03-25 11:37:00,CUST16224,Patna,Recharge not working from third party app,Customer says recharge done from Paytm for Rs. 249 failed but money was deducted. Paytm shows transaction pending. Needs clarification on whether recharge went through.,Recharge / Billing,WhatsApp,In Progress
TKT0041,2024-09-18 14:35:00,CUST48293,Kochi,SIM blocked after wrong PIN entry,Customer entered wrong PIN 3 times and SIM is now blocked. Does not know PUK code. Needs urgent assistance as it is their only phone.,SIM Card,WhatsApp,Open
TKT0042,2024-12-22 20:14:00,CUST34704,Kolkata,New SIM not activated after 24 hours,Customer bought a new SIM from authorised store yesterday. Submitted Aadhaar and photo. SIM still not activated after 24 hours. Store says everything submitted correctly.,SIM Card,Phone,Closed
TKT0043,2024-05-21 18:04:00,CUST83361,Bangalore,SIM swap done but services not working,Customer visited store and did SIM swap. Old SIM deactivated. New SIM inserted but showing 'SIM not provisioned' error. Urgent as customer is travelling tomorrow.,SIM Card,WhatsApp,Resolved
TKT0044,2024-12-25 18:41:00,CUST80117,Pune,Duplicate SIM requested after phone theft,Customer had phone stolen. Has police FIR copy. Needs urgent duplicate SIM on same number to be issued. Requests call diversion to alternate number meanwhile.,SIM Card,Email,Closed
TKT0045,2024-03-05 11:09:00,CUST81476,Delhi,SIM works for calls but not data,Customer says SIM card works for calls and SMS but mobile data does not work at all. Tried in two different phones. Same result. Data plan active.,SIM Card,Phone,Resolved
TKT0046,2024-11-27 19:10:00,CUST56387,Delhi,SIM showing registered on network but no service,Customer says SIM shows 'Registered on Network' but cannot make calls or use internet. Tried airplane mode trick multiple times.,SIM Card,Walk-in,Open
TKT0047,2024-03-23 17:49:00,CUST16922,Ahmedabad,Want to upgrade from 3G SIM to 4G SIM,Customer wants to upgrade existing 3G SIM to 4G SIM to access faster internet. Not sure of the process or whether they need to visit store or can do it online.,SIM Card,Walk-in,Resolved
TKT0048,2024-04-06 16:11:00,CUST24566,Bhopal,SIM card not working after getting wet,"Customer says phone fell into water. After drying, phone works but SIM not detected. Same SIM does not work in another phone either. Needs replacement.",SIM Card,App,Closed
TKT0049,2024-01-07 14:24:00,CUST99407,Hyderabad,Porting request stuck for 10 days,Customer trying to port number from another operator. Submitted all documents 10 days ago. Porting still not completed. Receiving conflicting information from customer care.,SIM Card,Walk-in,Resolved
TKT0050,2024-10-17 21:46:00,CUST88965,Bangalore,SIM giving network but calls have echo,Customer says all calls have a bad echo — they can hear their own voice. Issue on all calls. SIM is 4G. Phone is Samsung Galaxy A54.,Voice Call,Email,Closed
TKT0051,2024-03-26 21:23:00,CUST43161,Delhi,Roaming not working in Dubai,Customer travelled to Dubai for business. Activated roaming pack before leaving. Phone shows no network after landing. Tried turning off and on. Roaming pack shows active in app.,International Roaming,Email,Closed
TKT0052,2024-07-22 07:19:00,CUST30817,Bhopal,Very high roaming bill charged,"Customer returned from Singapore trip. Had roaming pack activated. Still received a bill of Rs. 8,500 extra charges. Pack was supposed to cover calls and data. Requesting detailed breakdown.",International Roaming,Walk-in,Resolved
TKT0053,2024-10-11 16:18:00,CUST26201,Hyderabad,Roaming pack not reflecting after activation,Customer activated international roaming pack for USA trip via app. Confirmation SMS received. But app still shows roaming pack not active. Travelling in 6 hours.,International Roaming,WhatsApp,Closed
TKT0054,2024-01-21 18:10:00,CUST89492,Surat,Incoming calls not working abroad,Customer on roaming says they can make outgoing calls but cannot receive incoming calls at all. Callers get a 'not reachable' message. Data and SMS working fine.,International Roaming,Phone,Pending Customer
TKT0055,2024-06-16 08:24:00,CUST45477,Bhopal,How to activate roaming for Nepal trip,"Customer travelling to Nepal next week for the first time and wants to understand roaming packs, charges, and how to activate. Not sure if Nepal is covered under standard roaming plans.",International Roaming,SMS,Closed
TKT0056,2024-12-21 07:48:00,CUST47850,Bhubaneswar,Roaming data very slow in USA,Customer on roaming in USA says mobile internet is working but speed is extremely slow — cannot even load WhatsApp messages. Roaming data pack shows 2GB remaining.,International Roaming,Email,In Progress
TKT0057,2024-04-26 12:33:00,CUST63251,Kochi,Roaming charges even after returning to India,Customer returned from UAE trip 3 days ago. Still being charged roaming rates in India. Called to deactivate roaming but charges continue. Raising formal complaint.,International Roaming,SMS,Pending Customer
TKT0058,2024-05-13 12:53:00,CUST84341,Mumbai,SMS not delivered while roaming in Malaysia,Customer on business trip. Sending SMS to Indian numbers but none delivered. Calls and data working fine. SMS always worked before on previous trips.,International Roaming,SMS,In Progress
TKT0059,2024-01-15 13:08:00,CUST33559,Bangalore,Roaming pack expired before trip ended,Customer on a 10-day trip bought 7-day roaming pack. Pack expired but trip continues. Wants to know how to extend roaming or buy new pack from abroad.,International Roaming,Walk-in,Pending Customer
TKT0060,2024-04-03 20:09:00,CUST10422,Lucknow,No network in specific country,Customer travelling to Sri Lanka says there is no network at all. India number shows 'No Service'. Not sure if Sri Lanka is covered in their roaming plan.,International Roaming,WhatsApp,Open
TKT0061,2024-02-07 12:37:00,CUST40581,Mumbai,JioTV not loading on fiber connection,Customer subscribed to fiber plan with JioTV OTT benefit. App not loading any channels. Internet works fine for browsing. JioTV worked earlier. App reinstalled but no change.,OTT / Streaming,App,Resolved
TKT0062,2024-11-09 09:23:00,CUST75793,Bhopal,SonyLIV buffering continuously,Customer on Rs. 599 fiber plan with OTT benefits. SonyLIV videos buffer every 30 seconds even at lowest quality. YouTube works fine. Speed test shows 80 Mbps.,OTT / Streaming,App,Pending Customer
TKT0063,2024-09-05 13:45:00,CUST23167,Kolkata,Hotstar subscription not activating,Customer recharged with plan that includes Disney+ Hotstar. Shows 'Your plan does not include Hotstar' when trying to activate. Plan details clearly show OTT benefit.,OTT / Streaming,Walk-in,In Progress
TKT0064,2024-03-09 22:47:00,CUST42560,Coimbatore,Netflix working slow only after 9 PM,Customer on fiber plan says Netflix is very slow every evening after 9 PM but works perfectly in daytime. Speed test shows good speed even at night. Only Netflix affected.,OTT / Streaming,Email,Resolved
TKT0065,2024-03-26 09:15:00,CUST41523,Kolkata,OTT subscription not transferred after plan change,Customer changed postpaid plan from Rs. 499 to Rs. 799. Old plan had Amazon Prime. New plan also claims Prime benefit but subscription not reflecting in Amazon app.,OTT / Streaming,WhatsApp,Closed
TKT0066,2024-08-03 19:33:00,CUST83584,Vadodara,Zee5 login not working with mobile number,Customer cannot log into Zee5 which is bundled with their plan. OTP not received for Zee5 login. SMS OTPs for other apps working fine.,OTT / Streaming,SMS,In Progress
TKT0067,2024-10-16 17:31:00,CUST34784,Delhi,YouTube quality stuck at 480p on fast connection,Customer has 200 Mbps fiber plan. YouTube videos automatically capped at 480p. Manually selecting HD gives buffering. Other streaming apps work in full HD fine.,OTT / Streaming,WhatsApp,In Progress
TKT0068,2024-01-20 20:03:00,CUST51312,Bangalore,MX Player ad-free not working despite plan,Customer on a plan that includes MX Player ad-free. Still getting ads every 5 minutes. Customer care earlier confirmed the benefit should be active.,OTT / Streaming,Phone,Closed
TKT0069,2024-05-29 12:17:00,CUST98062,Pune,OTT benefits expired before plan end date,Customer says their OTT subscription bundled with recharge expired 10 days before the plan end date. Recharge validity shows 84 days but OTT expired at 74 days.,OTT / Streaming,SMS,Closed
TKT0070,2024-05-31 13:46:00,CUST57780,Jaipur,Cannot log in to Voot select despite subscription,Customer has plan with Voot Select benefit. Voot app says subscription not found when logging in with mobile number. Account not linked properly.,OTT / Streaming,Walk-in,Open
TKT0071,2024-03-13 16:33:00,CUST44128,Bangalore,Wi-Fi calling not available in phone settings,Customer says Wi-Fi calling option is not visible in their phone settings. Phone is Xiaomi Redmi Note 12. SIM is 4G. Customer works from home and needs this urgently.,Wi-Fi Calling,App,In Progress
TKT0072,2024-06-30 14:09:00,CUST89726,Pune,Wi-Fi calling disconnects when switching to 4G,Customer says Wi-Fi call disconnects every time they move away from home and phone switches to 4G network. Very inconvenient during long business calls.,Wi-Fi Calling,Phone,Resolved
TKT0073,2024-01-10 18:20:00,CUST59186,Delhi,Cannot enable VoLTE on new phone,Customer bought Apple iPhone 14. Cannot find option to enable VoLTE. Calls are connecting via 3G fallback. Call quality very poor compared to previous phone.,Wi-Fi Calling,App,Closed
TKT0074,2024-01-12 07:11:00,CUST37771,Ahmedabad,Wi-Fi calling showing error 403,Customer enabled Wi-Fi calling but gets 'Error 403' when trying to make a call. Normal cellular calls work fine. Wi-Fi internet working at 150 Mbps.,Wi-Fi Calling,Phone,Resolved
TKT0075,2024-02-06 07:27:00,CUST24937,Ahmedabad,VoLTE suddenly stopped working,Customer says HD VoLTE calls were working fine for months. Since last week VoLTE icon disappeared and call quality degraded. No changes made to phone.,Wi-Fi Calling,WhatsApp,Pending Customer
TKT0076,2024-07-08 22:27:00,CUST83183,Coimbatore,SMS OTP not receiving for bank transactions,"Customer says SMS OTPs from banks (SBI, HDFC) not being received for the past 2 days. Other promotional SMSes are coming. DND settings not changed.",SMS,SMS,Open
TKT0077,2024-05-14 17:45:00,CUST55203,Kochi,Bulk SMS spam from unknown numbers,Customer receiving 30-40 promotional SMS messages daily from unknown numbers despite being registered on DND. Wants these stopped immediately and to complain formally.,SMS,SMS,Closed
TKT0078,2024-02-02 08:14:00,CUST45004,Bangalore,SMS not delivered to contacts abroad,Customer says SMS sent to family members in USA not getting delivered. Has international SMS pack. WhatsApp messages to same numbers delivered fine.,SMS,Email,In Progress
TKT0079,2024-06-06 14:13:00,CUST67968,Bhopal,Number portability rejection without reason,Customer applied for MNP (Mobile Number Portability) to switch operators. Application was rejected without any reason given. Has been using number for 8 years.,SIM Card,WhatsApp,Resolved
TKT0080,2024-05-14 09:49:00,CUST60256,Nagpur,Data usage showing higher than actual,Customer on 2GB per day plan. App shows 2GB used by 10 AM daily but customer uses phone mostly for WhatsApp and light browsing. Suspects incorrect tracking.,Mobile Data,Walk-in,Resolved
TKT0081,2024-09-10 21:27:00,CUST52060,Bangalore,Night data pack not activating,Customer recharged night data unlimited pack (12 AM to 6 AM). Pack active but data speed is throttled even during night hours. Recharge amount deducted.,Mobile Data,WhatsApp,Resolved
TKT0082,2024-12-21 10:58:00,CUST47556,Vadodara,Prepaid balance deducted without any usage,Customer says Rs. 30 was deducted from prepaid balance overnight. Phone was switched off. No calls or data usage. Requesting refund and explanation.,Recharge / Billing,Walk-in,Closed
TKT0083,2024-10-29 15:29:00,CUST74236,Kochi,Unable to recharge from official app,Customer says the company's official app crashes every time they try to recharge. Tried on both Android phone and tablet. Has to use third-party apps which are less convenient.,Recharge / Billing,Phone,Closed
TKT0084,2024-12-22 07:03:00,CUST83807,Bhopal,Corporate plan disconnected without notice,Customer says their corporate postpaid connection was disconnected without prior notice. Company has paid all dues. 50 employee connections all disconnected. Urgent restoration needed.,Recharge / Billing,Phone,Closed
TKT0085,2024-04-08 20:56:00,CUST96902,Delhi,Wrongly migrated from postpaid to prepaid,Customer says their postpaid account was migrated to prepaid without their consent. Lost all postpaid benefits and accumulated loyalty points. Requesting immediate revert.,Recharge / Billing,App,Resolved
TKT0086,2024-03-03 17:13:00,CUST36696,Patna,Caller tune activated without permission,Customer says a caller tune was activated on their number and Rs. 30 charged monthly. Never subscribed to this service. Requesting deactivation and refund of 3 months.,Recharge / Billing,Phone,Resolved
TKT0087,2024-05-26 12:53:00,CUST27673,Bangalore,Mobile number not reachable to family,Customer says their number is not reachable to any callers. They can make outgoing calls and use internet. Incoming calls go directly to 'not reachable'. Problem since 4 days.,Voice Call,App,Open
TKT0088,2024-07-31 10:19:00,CUST34213,Lucknow,Call waiting and forwarding not working,"Customer says call waiting feature stopped working. When on a call, second callers get engaged tone instead of waiting. Feature was working fine before. Rs. 199 plan.",Voice Call,SMS,Closed
TKT0089,2024-02-09 15:33:00,CUST49831,Coimbatore,Video call quality very poor on 4G,Customer says video calls on Google Meet and Zoom are very poor quality on 4G. Audio cuts out frequently. Normal calls are fine. Speed test shows 25 Mbps.,Mobile Data,Phone,Pending Customer
TKT0090,2024-03-22 15:46:00,CUST26205,Jaipur,Unable to receive calls from landlines,Customer says calls from landline numbers are not connecting to their mobile. Mobile to mobile calls work perfectly. Issue specifically with BSNL landline callers.,Voice Call,SMS,Closed
TKT0091,2024-05-08 22:25:00,CUST26833,Mumbai,Emergency call only showing on SIM,Customer's phone shows 'Emergency calls only' on their primary SIM. Secondary SIM works fine. SIM 1 is a postpaid connection with valid plan.,Voice Call,Phone,Resolved
TKT0092,2024-09-13 16:53:00,CUST68704,Lucknow,Hotspot not working from phone,Customer says mobile hotspot from their phone is not working after latest software update. Other devices can see the hotspot network but cannot connect. Shows 'Authentication error'.,Mobile Data,Email,Resolved
TKT0093,2024-04-04 21:18:00,CUST29531,Jaipur,Data rollover not credited after recharge,Customer on plan that offers data rollover. Unused data from last month not carried over after recharging. Plan clearly mentions rollover benefit. 1.5 GB was remaining.,Mobile Data,SMS,Resolved
TKT0094,2024-09-14 14:39:00,CUST56538,Pune,International calls not connected from India,Customer wants to call their child studying in Canada. Dialled with country code +1 but call not connecting. Balance shows Rs. 250. ISD calls were working 2 weeks ago.,Voice Call,Email,Pending Customer
TKT0095,2024-10-11 20:50:00,CUST28950,Bhubaneswar,App-based recharge history not showing,Customer says last 6 months of recharge history disappeared from the official app. Needed for expense reimbursement from employer. Requests history to be emailed.,Recharge / Billing,Email,Resolved
TKT0096,2024-07-23 09:00:00,CUST65324,Patna,Student SIM plan features not activated,Customer bought a student SIM plan from college campus. Plan includes extra data and discount on calls but none of the benefits showing in app. SIM 3 days old.,SIM Card,SMS,Open
TKT0097,2024-05-09 17:12:00,CUST41521,Pune,SIM not working after Aadhaar e-KYC failure,Customer completed e-KYC via Aadhaar OTP for new SIM. OTP received and entered but system shows KYC failed. SIM still inactive. Store says retry after 24 hours but problem persists.,SIM Card,Phone,In Progress
TKT0098,2024-10-12 14:09:00,CUST82861,Vadodara,Balance deducted after calling toll free number,Customer called a toll-free 1800 number for HDFC bank. Rs. 2.50 deducted from prepaid balance. Toll-free numbers should not be charged. Requesting refund.,Recharge / Billing,Phone,Closed
TKT0099,2024-01-15 22:11:00,CUST35064,Vadodara,Fiber plan speed downgraded without intimation,Customer subscribed to 200 Mbps fiber plan paying Rs. 999 per month. Speed test consistently shows only 50 Mbps for last 2 weeks. No intimation received about downgrade.,Fiber Broadband,App,In Progress
TKT0100,2024-06-13 10:05:00,CUST82219,Jaipur,Cannot make calls during IPL match hours,"Customer says every evening during IPL match timings between 7 PM to 11 PM, calls completely fail to connect. Internet also very slow. Problem only during those hours.",Voice Call,Walk-in,Resolved
